2015-05-14T05:54:06.480+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:55:06.481+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:56:06.481+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:57:06.482+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:58:06.483+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T05:59:06.482+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:00:06.484+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:01:06.483+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:02:06.483+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:03:06.486+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:04:06.486+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:05:06.486+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:06:06.486+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:07:06.488+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:08:06.488+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:09:06.487+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:10:06.490+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:11:06.489+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:12:06.491+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:13:06.491+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:14:06.492+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:15:06.492+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:16:06.492+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:17:06.495+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:18:06.495+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:19:06.498+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:20:06.497+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:21:06.499+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:22:06.500+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:23:06.502+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:24:06.503+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:25:06.505+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:26:06.507+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:27:06.507+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:28:06.508+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:29:06.508+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:30:06.511+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:31:06.510+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:32:06.509+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:33:06.511+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:34:06.511+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:35:06.512+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:36:06.512+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:37:06.513+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:38:06.514+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:39:06.527+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:40:06.515+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:41:06.516+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:42:06.516+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:43:06.516+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:44:06.517+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:45:06.518+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:46:06.516+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:47:06.518+0200 I COMMAND  [DataFileSync] flushing diag log
